[2025-08-05 15:27:50] absolute axis event at 1754396870.127697, ABS_Z 
[2025-08-05 15:27:50] absolute axis event at 1754396870.127697, ABS_RZ 
[2025-08-05 15:27:50] absolute axis event at 1754396870.157657, ABS_Z 
[2025-08-05 15:27:50] absolute axis event at 1754396870.187760, ABS_Z 
[2025-08-05 15:27:50] absolute axis event at 1754396870.217807, ABS_Z 
[2025-08-05 15:27:50] absolute axis event at 1754396870.217807, ABS_RZ 
[2025-08-05 15:27:50] absolute axis event at 1754396870.307650, ABS_Z 
[2025-08-05 15:27:50] absolute axis event at 1754396870.547768, ABS_Z 
[2025-08-05 15:27:50] absolute axis event at 1754396870.577657, ABS_Z 
[2025-08-05 15:27:50] absolute axis event at 1754396870.607554, ABS_Z 
[2025-08-05 15:27:50] absolute axis event at 1754396870.607554, ABS_RZ 
[2025-08-05 15:27:50] absolute axis event at 1754396870.637773, ABS_Z 
[2025-08-05 15:27:50] absolute axis event at 1754396870.637773, ABS_RZ 
[2025-08-05 15:27:50] absolute axis event at 1754396870.667516, ABS_RZ 
[2025-08-05 15:27:50] absolute axis event at 1754396870.697554, ABS_RZ 
[2025-08-05 15:27:50] absolute axis event at 1754396870.727690, ABS_RZ 
[2025-08-05 15:27:50] absolute axis event at 1754396870.757535, ABS_Z 
[2025-08-05 15:27:50] absolute axis event at 1754396870.757535, ABS_RZ 
[2025-08-05 15:27:50] absolute axis event at 1754396870.787537, ABS_Z 
[2025-08-05 15:27:50] absolute axis event at 1754396870.787537, ABS_RZ 
[2025-08-05 15:27:50] absolute axis event at 1754396870.817484, ABS_Z 
[2025-08-05 15:27:50] absolute axis event at 1754396870.817484, ABS_RZ 
[2025-08-05 15:27:50] absolute axis event at 1754396870.847635, ABS_Z 
[2025-08-05 15:27:50] absolute axis event at 1754396870.847635, ABS_RZ 
[2025-08-05 15:27:50] absolute axis event at 1754396870.877430, ABS_Z 
[2025-08-05 15:27:50] absolute axis event at 1754396870.877430, ABS_RZ 
[2025-08-05 15:27:50] absolute axis event at 1754396870.907705, ABS_Z 
[2025-08-05 15:27:50] absolute axis event at 1754396870.937605, ABS_Z 
[2025-08-05 15:27:50] absolute axis event at 1754396870.937605, ABS_RZ 
[2025-08-05 15:27:50] absolute axis event at 1754396870.967409, ABS_Z 
[2025-08-05 15:27:50] absolute axis event at 1754396870.967409, ABS_RZ 
[2025-08-05 15:27:50] absolute axis event at 1754396870.997565, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.027604, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.057536, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.087361, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.087361, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.117484, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.117484, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.147549, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.147549, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.177540, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.177540, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.207569, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.207569, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.237469, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.237469, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.267616, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.267616, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.297407, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.297407, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.327456, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.357428, ABS_Z 
