[2025-08-01 14:05:09] absolute axis event at 1754046309.807277, ABS_X
[2025-08-01 14:05:09] absolute axis event at 1754046309.837286, ABS_X
[2025-08-01 14:05:09] absolute axis event at 1754046309.867200, ABS_X
[2025-08-01 14:05:09] absolute axis event at 1754046309.897921, ABS_X
[2025-08-01 14:05:09] absolute axis event at 1754046309.927498, ABS_X
[2025-08-01 14:05:09] absolute axis event at 1754046309.927498, ABS_Y
[2025-08-01 14:05:09] absolute axis event at 1754046309.957275, ABS_X
[2025-08-01 14:05:09] absolute axis event at 1754046309.987301, ABS_X
[2025-08-01 14:05:09] absolute axis event at 1754046309.987301, ABS_Y
[2025-08-01 14:05:10] absolute axis event at 1754046310.032129, ABS_Y
[2025-08-01 14:05:10] absolute axis event at 1754046310.062046, ABS_X
[2025-08-01 14:05:10] absolute axis event at 1754046310.512077, ABS_Y
[2025-08-01 14:05:10] absolute axis event at 1754046310.542154, ABS_Y
[2025-08-01 14:05:10] absolute axis event at 1754046310.572165, ABS_X
[2025-08-01 14:05:10] absolute axis event at 1754046310.572165, ABS_Y
[2025-08-01 14:05:10] absolute axis event at 1754046310.602218, ABS_X
[2025-08-01 14:05:10] absolute axis event at 1754046310.602218, ABS_Y
[2025-08-01 14:05:10] absolute axis event at 1754046310.632226, ABS_X
[2025-08-01 14:05:10] absolute axis event at 1754046310.662231, ABS_X
[2025-08-01 14:05:10] absolute axis event at 1754046310.722074, ABS_Y
[2025-08-01 14:05:11] absolute axis event at 1754046311.097911, ABS_X
[2025-08-01 14:05:11] absolute axis event at 1754046311.097911, ABS_Y
[2025-08-01 14:05:11] absolute axis event at 1754046311.127504, ABS_X
[2025-08-01 14:05:11] absolute axis event at 1754046311.127504, ABS_Y
[2025-08-01 14:05:11] absolute axis event at 1754046311.157298, ABS_X
[2025-08-01 14:05:11] absolute axis event at 1754046311.157298, ABS_Y
[2025-08-01 14:05:11] absolute axis event at 1754046311.187310, ABS_Y
[2025-08-01 14:05:11] absolute axis event at 1754046311.217222, ABS_Y
[2025-08-01 14:05:11] absolute axis event at 1754046311.232416, ABS_X
[2025-08-01 14:05:11] absolute axis event at 1754046311.232416, ABS_Y
[2025-08-01 14:05:11] absolute axis event at 1754046311.262261, ABS_X
[2025-08-01 14:05:11] absolute axis event at 1754046311.262261, ABS_Y
[2025-08-01 14:05:11] absolute axis event at 1754046311.292254, ABS_Y
[2025-08-01 14:05:11] absolute axis event at 1754046311.322200, ABS_Y
[2025-08-01 14:05:12] absolute axis event at 1754046312.147948, ABS_X
[2025-08-01 14:05:12] absolute axis event at 1754046312.177583, ABS_X
[2025-08-01 14:05:12] absolute axis event at 1754046312.207415, ABS_X
[2025-08-01 14:05:12] absolute axis event at 1754046312.237388, ABS_X
[2025-08-01 14:05:12] absolute axis event at 1754046312.267299, ABS_X
[2025-08-01 14:05:12] absolute axis event at 1754046312.298033, ABS_X
[2025-08-01 14:05:12] absolute axis event at 1754046312.312187, ABS_X
[2025-08-01 14:05:12] absolute axis event at 1754046312.343143, ABS_X
[2025-08-01 14:05:12] absolute axis event at 1754046312.417280, ABS_X
[2025-08-01 14:05:12] absolute axis event at 1754046312.507362, ABS_X
[2025-08-01 14:05:12] absolute axis event at 1754046312.732318, ABS_Y
[2025-08-01 14:05:12] absolute axis event at 1754046312.792482, ABS_Y
[2025-08-01 14:05:12] absolute axis event at 1754046312.898012, ABS_Y
[2025-08-01 14:05:12] absolute axis event at 1754046312.927713, ABS_Y
[2025-08-01 14:05:12] absolute axis event at 1754046312.957410, ABS_Y
[2025-08-01 14:05:12] absolute axis event at 1754046312.987400, ABS_Y
[2025-08-01 14:05:13] absolute axis event at 1754046313.017330, ABS_Y
[2025-08-01 14:05:13] absolute axis event at 1754046313.048078, ABS_Y
[2025-08-01 14:05:13] absolute axis event at 1754046313.152262, ABS_Y
[2025-08-01 14:05:13] absolute axis event at 1754046313.422133, ABS_Y
[2025-08-01 14:05:31] absolute axis event at 1754046331.737546, ABS_HAT0Y
[2025-08-01 14:05:31] absolute axis event at 1754046331.962678, ABS_HAT0Y
[2025-08-01 14:05:32] absolute axis event at 1754046332.981947, ABS_HAT0Y
[2025-08-01 14:05:33] absolute axis event at 1754046333.117135, ABS_HAT0Y
[2025-08-01 14:05:33] absolute axis event at 1754046333.701752, ABS_HAT0Y
[2025-08-01 14:05:33] absolute axis event at 1754046333.851879, ABS_HAT0Y
[2025-08-01 14:05:34] absolute axis event at 1754046334.661830, ABS_HAT0Y
[2025-08-01 14:05:34] absolute axis event at 1754046334.737238, ABS_HAT0Y
[2025-08-01 14:05:39] absolute axis event at 1754046339.671357, ABS_X
[2025-08-01 14:05:39] absolute axis event at 1754046339.701266, ABS_X
[2025-08-01 14:05:39] absolute axis event at 1754046339.731249, ABS_X
[2025-08-01 14:05:39] absolute axis event at 1754046339.731249, ABS_Y
[2025-08-01 14:05:39] absolute axis event at 1754046339.761328, ABS_X
[2025-08-01 14:05:39] absolute axis event at 1754046339.761328, ABS_Y
[2025-08-01 14:05:39] absolute axis event at 1754046339.791304, ABS_X
[2025-08-01 14:05:39] absolute axis event at 1754046339.791304, ABS_Y
[2025-08-01 14:05:39] absolute axis event at 1754046339.821256, ABS_X
[2025-08-01 14:05:39] absolute axis event at 1754046339.821256, ABS_Y
[2025-08-01 14:05:39] absolute axis event at 1754046339.851227, ABS_X
[2025-08-01 14:05:39] absolute axis event at 1754046339.851227, ABS_Y
[2025-08-01 14:05:39] absolute axis event at 1754046339.881250, ABS_X
[2025-08-01 14:05:39] absolute axis event at 1754046339.881250, ABS_Y
[2025-08-01 14:05:39] absolute axis event at 1754046339.911337, ABS_Y
[2025-08-01 14:05:39] absolute axis event at 1754046339.956813, ABS_X
[2025-08-01 14:05:40] absolute axis event at 1754046340.257010, ABS_X
[2025-08-01 14:05:40] absolute axis event at 1754046340.286578, ABS_X
[2025-08-01 14:05:40] absolute axis event at 1754046340.316303, ABS_X
[2025-08-01 14:05:40] absolute axis event at 1754046340.361222, ABS_X
[2025-08-01 14:05:40] absolute axis event at 1754046340.376356, ABS_X
[2025-08-01 14:05:40] absolute axis event at 1754046340.406733, ABS_X
[2025-08-01 14:05:40] absolute axis event at 1754046340.406733, ABS_Y
[2025-08-01 14:05:40] absolute axis event at 1754046340.466327, ABS_Y
[2025-08-01 14:05:40] absolute axis event at 1754046340.511823, ABS_Y
[2025-08-01 14:05:40] absolute axis event at 1754046340.541305, ABS_X
[2025-08-01 14:05:41] absolute axis event at 1754046341.500841, ABS_X
[2025-08-01 14:05:41] absolute axis event at 1754046341.665939, ABS_Y
[2025-08-01 14:05:41] absolute axis event at 1754046341.711074, ABS_Y
[2025-08-01 14:05:41] absolute axis event at 1754046341.726135, ABS_Y
[2025-08-01 14:05:41] absolute axis event at 1754046341.741083, ABS_Y
[2025-08-01 14:05:41] absolute axis event at 1754046341.771057, ABS_Y
[2025-08-01 14:05:41] absolute axis event at 1754046341.816165, ABS_Y
[2025-08-01 14:05:42] absolute axis event at 1754046342.025889, ABS_Y
[2025-08-01 14:05:42] absolute axis event at 1754046342.056842, ABS_Y
[2025-08-01 14:05:42] absolute axis event at 1754046342.086422, ABS_Y
[2025-08-01 14:05:42] absolute axis event at 1754046342.116128, ABS_Y
[2025-08-01 14:05:42] absolute axis event at 1754046342.160866, ABS_Y
[2025-08-01 14:05:42] absolute axis event at 1754046342.161698, ABS_Y
[2025-08-01 14:05:42] absolute axis event at 1754046342.191026, ABS_Y
[2025-08-01 14:05:42] absolute axis event at 1754046342.206511, ABS_Y
[2025-08-01 14:05:42] absolute axis event at 1754046342.236268, ABS_Y
[2025-08-01 14:05:42] absolute axis event at 1754046342.340873, ABS_Y
[2025-08-01 14:05:42] absolute axis event at 1754046342.370921, ABS_Y
[2025-08-01 14:05:42] absolute axis event at 1754046342.401051, ABS_Y
[2025-08-01 14:05:43] absolute axis event at 1754046343.330667, ABS_Y
[2025-08-01 14:05:43] absolute axis event at 1754046343.360963, ABS_Y
[2025-08-01 14:05:43] absolute axis event at 1754046343.390902, ABS_Y
[2025-08-01 14:05:43] absolute axis event at 1754046343.435998, ABS_Y
[2025-08-01 14:05:43] absolute axis event at 1754046343.450838, ABS_Y
[2025-08-01 14:05:43] absolute axis event at 1754046343.481451, ABS_Y
[2025-08-01 14:05:43] absolute axis event at 1754046343.510958, ABS_Y
[2025-08-01 14:05:44] absolute axis event at 1754046344.440582, ABS_Y
[2025-08-01 14:05:44] absolute axis event at 1754046344.485832, ABS_Y
[2025-08-01 14:05:44] absolute axis event at 1754046344.500662, ABS_Y
[2025-08-01 14:05:44] absolute axis event at 1754046344.530718, ABS_Y
[2025-08-01 14:05:44] absolute axis event at 1754046344.575817, ABS_Y
[2025-08-01 14:05:44] absolute axis event at 1754046344.636341, ABS_Y
[2025-08-01 14:05:44] absolute axis event at 1754046344.935715, ABS_Y
[2025-08-01 14:05:44] absolute axis event at 1754046344.965831, ABS_X
[2025-08-01 14:05:45] absolute axis event at 1754046345.145729, ABS_Y
[2025-08-01 14:05:45] absolute axis event at 1754046345.175729, ABS_Y
[2025-08-01 14:05:45] absolute axis event at 1754046345.206188, ABS_Y
[2025-08-01 14:05:45] absolute axis event at 1754046345.235816, ABS_Y
[2025-08-01 14:05:45] absolute axis event at 1754046345.356557, ABS_Y
[2025-08-01 14:05:45] absolute axis event at 1754046345.475614, ABS_X
[2025-08-01 14:05:45] absolute axis event at 1754046345.535715, ABS_Y
[2025-08-01 14:05:46] absolute axis event at 1754046346.285707, ABS_HAT0Y
[2025-08-01 14:05:46] absolute axis event at 1754046346.375614, ABS_HAT0Y
[2025-08-01 14:05:47] absolute axis event at 1754046347.320427, ABS_HAT0Y
[2025-08-01 14:05:47] absolute axis event at 1754046347.380473, ABS_HAT0Y
[2025-08-01 14:05:47] absolute axis event at 1754046347.815519, ABS_HAT0Y
[2025-08-01 14:05:47] absolute axis event at 1754046347.950281, ABS_HAT0Y
[2025-08-01 14:05:48] absolute axis event at 1754046348.025392, ABS_HAT0Y
[2025-08-01 14:05:48] absolute axis event at 1754046348.910257, ABS_HAT0Y
[2025-08-01 14:05:49] absolute axis event at 1754046349.075692, ABS_HAT0Y
[2025-08-01 14:05:49] absolute axis event at 1754046349.210911, ABS_HAT0Y
[2025-08-01 14:05:49] absolute axis event at 1754046349.435691, ABS_HAT0Y
[2025-08-01 14:05:49] absolute axis event at 1754046349.570301, ABS_HAT0Y
